unique_id	corpus	match_position	year	author	plaintext	status	kommer_position	att_position	verb_position	verb_lemma	distance_to_att_words	distance_to_att_symbols	distance_to_verb_words	distance_to_verb_symbols	voice	inf_length	att_before	distance_att_before_words	distance_att_before_symbols	att_between	att_after	distance_att_after_words	distance_att_after_symbols	subject_id	subject_form	subject_lemma	subject_type	subject_pos	subject_relpos	genre	month	day	time	text_id	thread_id	poslist	section	shortsection	userid
2	DN1987	1563385	1987		Det är knappast troligt att löneglidningen nämnvärt kommer att påverkas .	att	8	9	10	påverka	1	1	2	4	s-form	1	1	3	23	1	0			6	löneglidningen	löneglidning	other	NN	before	news	01	31				PN VB AB JJ SN NN AB VB IE VB MAD			
4	DN1987	1571735	1987		Det är reallöneskyddet som styr vårt handlande och som kommer att ligga till grund för våra fortsatta samtal med arbetsgivare och övriga löntagarorganisationer , säger Malm .	att	10	11	12	ligga	1	1	2	4	active	1	0			1	0			9	som	som	other	HP	before	news	01	28				PN VB NN HP VB PS NN KN HP VB IE VB PP NN PP PS PC NN PP NN KN JJ NN MID VB PM MAD			
5	DN1987	1574290	1987		Senare i februari kommer de också att ge konserter på Kulturhuset och El Tabano .	att	4	7	8	ge	3	8	4	11	active	1	0			1	0			5	de	de	dummy	PN	after	news	01	31				AB PP NN VB PN AB IE VB NN PP PM KN PM PM MAD			
6	DN1987	1579905	1987		Regeringen kommer antagligen att ge rikspolisstyrelsen i uppdrag att tillsätta en interimgrupp som ser till att spaningarbetet flyter .	omission	2	0	5	ge	2	11	3	14	active	1	0			1	2	4	27	1	Regeringen	regering	other	NN	before	news	01	31				NN VB AB IE VB NN PP NN IE VB DT NN HP VB PP SN NN VB MAD			
7	DN1987	1583497	1987		Brevet publicerades i New York Times och Wiesel skrev att de sovjetiska judarnas vänner i väst kommer att fortsätta att vädja tills de alla återförenats med de sina .	att	17	18	19	fortsätta	1	1	2	4	active	2	1	7	32	1	1	1	1	14	vänner	vän	other	NN	before	news	01	30				NN VB PP PM PM PM KN PM VB SN DT JJ NN NN PP NN VB IE VB IE VB SN PN PN VB PP PN PS MAD			
8	DN1987	1587465	1987		Det ska bli intressant att se hur Lars-Gunnar kommer att formera sitt stafettlag i VM . Marie-Helene Westin är självklar liksom Karin Lamberg-Skog , Marie Johansson är säkert mycket bättre om två veckor , Annika Dahlman visade fina besked tidigare i SM-veckan , Lis Frost är duktig i stafett och vi har junioren Magdalena Walin .	att	9	10	11	formera	1	1	2	4	active	1	1	4	17	1	0			8	Lars-Gunnar	Lars-Gunnar	other	PM	before	news	01	31				PN VB VB JJ IE VB HA PM VB IE VB PS NN PP PM MAD PM PM VB JJ PP PM PM MID PM PM VB AB AB AB PP RG NN MID PM PM VB JJ NN AB PP NN MID PM NN VB JJ PP NN KN PN VB NN PM PM MAD			
9	DN1987	1590111	1987		SJ kommer att gå med kraftig förlust så länge prisstoppet gäller .	att	2	3	4	gå	1	1	2	4	active	1	0			1	0			1	SJ	SJ	other	PM	before	news	01	31				PM VB IE VB PP JJ NN AB AB NN VB MAD			
10	DN1987	1590585	1987		Gränsen för acceptabel årsdos är nu 75 000 becquerel , men kommer antagligen att sänkas .	att	12	14	15	sänka	2	11	3	14	s-form	1	0			1	0			0						news	01	29				NN PP JJ NN VB AB RG RG NN MID KN VB AB IE VB MAD			
11	DN1987	1596583	1987		Den kommer delvis att ockuperas av ett av dessa nya tårtkaféer med uteservering och pianomusik året om .	att	2	4	5	ockupera	2	7	3	10	s-form	1	0			1	0			1	Den	den	other	PN	before	news	01	31				PN VB AB IE VB PP RG PP DT JJ NN PP NN KN NN NN PP MAD			
12	DN1987	1596829	1987		I porträttet av Harald Eriksson beskriver han en bildningsväg av ett slag som aldrig mer kommer att kunna få sin motsvarighet : grabben i obygden som fysiskt är för klen att bli skogshuggare , men som , med bildningsivern som enda motivation , självstuderar sig fram till att bli en av våra mest framstående insektsforskare .	omission	16	0	18	kunna	1	1	2	4	active	2	0			1	2	12	52	13	som	som	other	HP	before	news	01	30				PP NN PP PM PM VB PN DT NN PP DT NN HP AB AB VB IE VB VB PS NN MID NN PP NN HP AB VB AB JJ IE VB NN MID KN HP MID PP NN KN JJ NN MID VB PN PL PP IE VB DT PP PS AB JJ NN MAD			
13	DN1987	1606568	1987		Och vi kommer att skriva om dem .	att	3	4	5	skriva	1	1	2	4	active	1	0			1	0			2	vi	vi	other	PN	before	news	01	30				KN PN VB IE VB PP PN MAD			
14	DN1987	1612346	1987		-- Vi kommer inte att kunna täcka de ökade personalkostnader vi haft om vi inte ökar antalet resenärer .	omission	3	0	6	kunna	2	5	3	8	active	2	0			1	0			2	Vi	vi	other	PN	before	news	01	31				MID PN VB AB IE VB VB DT PC NN PN VB SN PN AB VB NN NN MAD			
15	DN1987	1626437	1987		Följden blir att jag är helt låst och aldrig kommer att ha någon möjlighet att hyra ut min lägenhet .	att	10	11	12	ha	1	1	2	4	active	1	1	7	23	1	1	3	15	0						news	01	31				NN VB SN PN VB AB PC KN AB VB IE VB DT NN IE VB PL PS NN MAD			
16	DN1987	1632771	1987		Historiska museet kommer också att vara med om en aktion för målningens återfående skulle sättas i gång .	att	3	5	6	vara	2	6	3	9	active	1	0			1	0			2	museet	museum	other	NN	before	news	01	30				JJ NN VB AB IE VB PL PP DT NN PP NN NN VB VB PP NN MAD			
17	DN1987	1668349	1987		Curts hängivna arbete för kyrkomusikens integration i kyrkans inre liv kommer länge att inspirera oss .	att	11	13	14	inspirera	2	6	3	9	active	1	0			1	0			0						news	01	31				PM PC NN PP NN NN PP NN JJ NN VB AB IE VB PN MAD			
18	DN1987	1668386	1987		Hans många opublicerade tonsättningar kommer att ges ut .	att	5	6	7	ge	1	1	2	4	s-form	1	0			1	0			4	tonsättningar	tonsättning	other	NN	before	news	01	31				PS JJ PC NN VB IE VB PL MAD			
20	DN1987	1678525	1987		Någon av parterna kommer förr eller senare att tvingas pröva om Feldt verkligen menar allvar när han varnar för ökad arbetslöshet i inflationens spår .	att	4	8	9	tvinga	4	16	5	19	s-form	2	0			1	0			1	Någon	någon	other	PN	before	news	01	31				PN PP NN VB AB KN AB IE VB VB SN PM AB VB NN HA PN VB PP PC NN PP NN NN MAD			
